# theta[deg]	neutral_n1	plasma_n1	neutral_n2	plasma_n2	neutral_n3	plasma_n3	neutral_n4	plasma_n4
7.90000000e+00	5.41394336e-01	1.02693824e-10	4.83409751e-01	4.76402898e-01	3.88888889e-01	3.50592491e-01	4.83409751e-01	4.96921166e-01
8.00000000e+00	5.41122004e-01	1.05835427e-10	4.86408481e-01	4.73826727e-01	3.87626263e-01	3.52841461e-01	4.86408481e-01	4.94605736e-01
8.10000000e+00	5.40849673e-01	1.09070983e-10	4.89428453e-01	4.71255177e-01	3.86363636e-01	3.55098136e-01	4.89428453e-01	4.92297725e-01
8.20000000e+00	5.40577342e-01	1.12403235e-10	4.92469769e-01	4.68688325e-01	3.85101010e-01	3.57362475e-01	4.92469769e-01	4.89997232e-01
8.30000000e+00	5.40305011e-01	1.15835004e-10	4.95532526e-01	4.66126247e-01	3.83838384e-01	3.59634431e-01	4.95532526e-01	4.87704357e-01
8.40000000e+00	5.40032680e-01	1.19369189e-10	4.98616827e-01	4.63569018e-01	3.82575758e-01	3.61913962e-01	4.98616827e-01	4.85419201e-01
8.50000000e+00	5.39760349e-01	1.23008774e-10	5.01722773e-01	4.61016711e-01	3.81313131e-01	3.64201021e-01	5.01722773e-01	4.83141861e-01
8.60000000e+00	5.39488017e-01	1.26756826e-10	5.04850463e-01	4.58469400e-01	3.80050505e-01	3.66495562e-01	5.04850463e-01	4.80872436e-01
8.70000000e+00	5.39215686e-01	1.30616502e-10	5.08000000e-01	4.55927159e-01	3.78787879e-01	3.68797540e-01	5.08000000e-01	4.78611024e-01
8.80000000e+00	5.38943355e-01	1.34591043e-10	5.11171485e-01	4.53390058e-01	3.77525253e-01	3.71106905e-01	5.11171485e-01	4.76357721e-01
8.90000000e+00	5.38671024e-01	1.38683787e-10	5.14365019e-01	4.50858170e-01	3.76262626e-01	3.73423611e-01	5.14365019e-01	4.74112625e-01
9.00000000e+00	5.38398693e-01	1.42898163e-10	5.17580705e-01	4.48331564e-01	3.75000000e-01	3.75747608e-01	5.17580705e-01	4.71875831e-01
9.10000000e+00	5.38126362e-01	1.47237698e-10	5.20818645e-01	4.45810311e-01	3.73737374e-01	3.78078847e-01	5.20818645e-01	4.69647434e-01
9.20000000e+00	5.37854031e-01	1.51706021e-10	5.24078941e-01	4.43294481e-01	3.72474747e-01	3.80417278e-01	5.24078941e-01	4.67427530e-01
9.30000000e+00	5.37581699e-01	1.56306858e-10	5.27361695e-01	4.40784141e-01	3.71212121e-01	3.82762849e-01	5.27361695e-01	4.65216213e-01
9.40000000e+00	5.37309368e-01	1.61044046e-10	5.30667012e-01	4.38279359e-01	3.69949495e-01	3.85115510e-01	5.30667012e-01	4.63013575e-01
9.50000000e+00	5.37037037e-01	1.65921526e-10	5.33994993e-01	4.35780203e-01	3.68686869e-01	3.87475207e-01	5.33994993e-01	4.60819712e-01
9.60000000e+00	5.36764706e-01	1.70943352e-10	5.37345743e-01	4.33286739e-01	3.67424242e-01	3.89841889e-01	5.37345743e-01	4.58634714e-01
9.70000000e+00	5.36492375e-01	1.76113691e-10	5.40719365e-01	4.30799032e-01	3.66161616e-01	3.92215500e-01	5.40719365e-01	4.56458674e-01
9.80000000e+00	5.36220044e-01	1.81436828e-10	5.44115963e-01	4.28317148e-01	3.64898990e-01	3.94595988e-01	5.44115963e-01	4.54291683e-01
9.90000000e+00	5.35947712e-01	1.86917167e-10	5.47535640e-01	4.25841150e-01	3.63636364e-01	3.96983296e-01	5.47535640e-01	4.52133831e-01
1.00000000e+01	5.35675381e-01	1.92559237e-10	5.50978501e-01	4.23371103e-01	3.62373737e-01	3.99377369e-01	5.50978501e-01	4.49985210e-01
1.01000000e+01	5.35403050e-01	1.98367694e-10	5.54444652e-01	4.20907069e-01	3.61111111e-01	4.01778150e-01	5.54444652e-01	4.47845908e-01
